"standardized_species","exclusion_type","number_of_studies"
"Chinese White Shrimp (Fenneropenaeus chinensis)","Species-level wild-caught exclusion within retained commodity group",1
"Cisco (Coregonus artedi)","Broad wild-caught-only group exclusion",1
"Coalfish (no species specified)","Broad wild-caught-only group exclusion",1
"Commerson's Anchovy (Engraulis commersonianus)","Broad wild-caught-only group exclusion",1
"Common Bream (Abramis brama)","Production method: wild-caught",1
"Common Gudeon (Gobio gobio)","Production method: wild-caught",1
"Common Ling (Molva molva)","Broad wild-caught-only group exclusion",1
"Common Moon Crab (Matuta victor)","Species-level wild-caught exclusion within retained commodity group",1
"Common Snook (Centropomus undecimalis)","Broad wild-caught-only group exclusion",1
"Coral Fish (no species specified)","Production method: not specified, exclude",1
"Coral Hind (Cephalopholis miniata)","Broad wild-caught-only group exclusion",1
"Creamfish (no species specified)","Production method: not specified, exclude",1
"Crimson Jobfish (Pristipomoides filamentosus)","Broad wild-caught-only group exclusion",1
"Curled Picarel (Centracanthus cirrus)","Production method: not specified, exclude",1
"Cutlassfish (no species specified)","Broad wild-caught-only group exclusion",1
"Cuttlefish (Sepiella maindroni)","Broad wild-caught-only group exclusion",1
"Dab (no species specified)","Production method: not specified, exclude",1
"Dark Smoothhound Puffer (Lagocephalus gloveri)","Broad wild-caught-only group exclusion",1
"Decapodiform Cephalopod (no species specified)","Broad wild-caught-only group exclusion",1
"Deep Water Shrimp (no species specified)","Species-level wild-caught exclusion within retained commodity group",1
"Delicate Round Herring (Spratelloides delicatulus)","Broad wild-caught-only group exclusion",1
"Distinct Croaker (Johnius distinctus)","Species-level wild-caught exclusion within retained commodity group",1
"Dogfish (no species specified)","Broad wild-caught-only group exclusion",1
"Dogtooth Tuna (Gymnosarda unicolor)","Broad wild-caught-only group exclusion",1
"Doublelined Tonguesole (Paraplagusia bilineata)","Species-level wild-caught exclusion within retained commodity group",1
"Dussumier's Ponyfish (Equula dussumieri)","Broad wild-caught-only group exclusion",1
"Earshell (no species specified)","Production method: not specified, exclude",1
"Elongate Ilisha (Ilisha elongata)","Broad wild-caught-only group exclusion",1
"Emperor Red Snapper (Lutjanus sebae)","Species-level wild-caught exclusion within retained commodity group",1
"European Barracuda (Sphyraena sphyraena)","Broad wild-caught-only group exclusion",1
"European Eel (Anguilla anguilla)","Production method: wild-caught",1
"European Spider Crab (Maja brachydactyla)","Species-level wild-caught exclusion within retained commodity group",1
"European Squid (no species specified)","Broad wild-caught-only group exclusion",1
"European anchovy (Engraulis encrasicolus)","Broad wild-caught-only group exclusion",1
"False Kelpfish (Sebastiscus marmoratus)","Broad wild-caught-only group exclusion",1
"False Trevally (Lactarius lactarius)","Broad wild-caught-only group exclusion",1
"Fiddler Shrimp (Metapenaeopsis stridulans)","Species-level wild-caught exclusion within retained commodity group",1
"Filefish (no species specified)","Production method: not specified, exclude",1
"Flathead (no species specified)","Broad wild-caught-only group exclusion",1
"Flathead Catfish (Pylodictis olivaris)","Broad wild-caught-only group exclusion",1
"Flathead Lobster (Thenus orientalis)","Broad wild-caught-only group exclusion",1
"Flounder (Platichthys flesus)","Production method: wild-caught",1
"Flounder (no species specified)","Production method: wild-caught",1
"Flyingfish Roe (no species specified)","Broad wild-caught-only group exclusion",1
"Foureyed Sole (Microchirus ocellatus)","Species-level wild-caught exclusion within retained commodity group",1
"Fourfinger Threadfin (Polynemus tetradactylum)","Broad wild-caught-only group exclusion",1
"Freshwater Snail (Semisulcospira coreana)","Broad wild-caught-only group exclusion",1
"Frog Triton (Bufonaria rana)","Broad wild-caught-only group exclusion",1
"Gastropod (no species specified)","Production method: not specified, exclude",1
"Giant Grouper (Epinephelus lanceolatus)","Species-level wild-caught exclusion within retained commodity group",1
"Giant Pacific Octopus (Octopus dofleini)","Broad wild-caught-only group exclusion",1
"Gizzard Shad (Dorosoma cepedianum)","Broad wild-caught-only group exclusion",1
"Golden Pomfret (Xenobrama microlepis)","Species-level wild-caught exclusion within retained commodity group",1
"Golden Redfish (Sebastes norvegicus)","Broad wild-caught-only group exclusion",1
"Golden Shrimp (Plesionika martia)","Species-level wild-caught exclusion within retained commodity group",1
"Goldspotted Rabbitfish (Siganus punctatus)","Broad wild-caught-only group exclusion",1
"Goose Barnacle (no species specified)","Broad wild-caught-only group exclusion",1
"Greasy Grouper (Epinephelus tauvina)","Production method: wild-caught",1
"Greater Amberjack (Seriola dumerili)","Production method: wild-caught",1
"Greater Forkbeard (Pagellus blennoides)","Broad wild-caught-only group exclusion",1
"Greater Forkbeard (Phycis blennoides)","Broad wild-caught-only group exclusion",1
"Greater Lizardfish (Saurida tumbil)","Broad wild-caught-only group exclusion",1
"Grooved Razor Shell (Ensis siliqua)","Broad wild-caught-only group exclusion",1
"Grouper (Epinephelus fasciatus)","Species-level wild-caught exclusion within retained commodity group",1
"Grunt (no species specified)","Broad wild-caught-only group exclusion",1
"Haan's Swimming Crab (Portunus haanii)","Production method: not specified, exclude",1
"Haddock (Gadus merlangus euxinus)","Broad wild-caught-only group exclusion",1
"Haddock (Melanogrammus aeglefinus)","Broad wild-caught-only group exclusion",1
"Hairtail (Trichiurus lepturu)","Broad wild-caught-only group exclusion",1
"Hairtail (no species specified)","Broad wild-caught-only group exclusion",1
